match_id,date,team1,team2,venue,city,winner,toss_winner,toss_decision,event,opponent,india_result,year,india_won_toss,india_batted_first
1263621,07-10-2021,India,Australia,Carrara Oval,Carrara,,Australia,field,India Women tour of Australia,Australia,No Result,2021,FALSE,TRUE
1263622,09-10-2021,India,Australia,Carrara Oval,Carrara,Australia,Australia,field,India Women tour of Australia,Australia,Loss,2021,FALSE,TRUE
1263623,10-10-2021,Australia,India,Carrara Oval,Carrara,Australia,India,field,India Women tour of Australia,Australia,Loss,2021,TRUE,FALSE
1289031,09-02-2022,New Zealand,India,"John Davies Oval, Queenstown",Queenstown,New Zealand,India,field,India Women tour of New Zealand,New Zealand,Loss,2022,TRUE,FALSE
1289259,29-07-2022,India,Australia,"Edgbaston, Birmingham",Birmingham,Australia,India,bat,Commonwealth Games Women's Cricket Competition,Australia,Loss,2022,TRUE,TRUE
1289263,31-07-2022,Pakistan,India,"Edgbaston, Birmingham",Birmingham,India,Pakistan,bat,Commonwealth Games Women's Cricket Competition,Pakistan,Win,2022,FALSE,FALSE
1289268,03-08-2022,India,Barbados,"Edgbaston, Birmingham",Birmingham,India,Barbados,field,Commonwealth Games Women's Cricket Competition,Barbados,Win,2022,FALSE,TRUE
1289271,06-08-2022,India,England,"Edgbaston, Birmingham",Birmingham,India,India,bat,Commonwealth Games Women's Cricket Competition,England,Win,2022,TRUE,TRUE
1289274,07-08-2022,Australia,India,"Edgbaston, Birmingham",Birmingham,Australia,Australia,bat,Commonwealth Games Women's Cricket Competition,Australia,Loss,2022,FALSE,FALSE
1301334,10-09-2022,India,England,"Riverside Ground, Chester-le-Street",Chester-le-Street,England,England,field,India Women tour of England,England,Loss,2022,FALSE,TRUE
1301335,13-09-2022,England,India,"County Ground, Derby",Derby,India,England,bat,India Women tour of England,England,Win,2022,FALSE,FALSE
1301336,15-09-2022,India,England,"County Ground, Bristol",Bristol,England,England,field,India Women tour of England,England,Loss,2022,FALSE,TRUE
1319709,23-06-2022,India,Sri Lanka,Rangiri Dambulla International Stadium,Dambulla,India,India,bat,India Women tour of Sri Lanka,Sri Lanka,Win,2022,TRUE,TRUE
1319710,25-06-2022,Sri Lanka,India,Rangiri Dambulla International Stadium,Dambulla,India,Sri Lanka,bat,India Women tour of Sri Lanka,Sri Lanka,Win,2022,FALSE,FALSE
1319711,27-06-2022,India,Sri Lanka,Rangiri Dambulla International Stadium,Dambulla,Sri Lanka,India,bat,India Women tour of Sri Lanka,Sri Lanka,Loss,2022,TRUE,TRUE
1335786,01-10-2022,India,Sri Lanka,"Sylhet International Cricket Stadium, Academy Ground",Sylhet,India,Sri Lanka,field,Women's Asia Cup,Sri Lanka,Win,2022,FALSE,TRUE
1335790,03-10-2022,India,Malaysia,"Sylhet International Cricket Stadium, Academy Ground",Sylhet,India,Malaysia,field,Women's Asia Cup,Malaysia,Win,2022,FALSE,TRUE
